iter	Passed	Remaining
0	152	152440
1	154	76897
2	155	51776
3	157	39206
4	158	31615
5	160	26569
6	161	22952
7	163	20254
8	164	18136
9	166	16451
10	167	15062
11	169	13916
12	170	12939
13	171	12094
14	173	11368
15	174	10735
16	175	10171
17	177	9681
18	178	9234
19	180	8844
20	182	8499
21	183	8167
22	185	7861
23	186	7585
24	187	7325
25	189	7093
26	190	6875
27	192	6672
28	193	6479
29	195	6306
30	196	6140
31	197	5985
32	199	5844
33	200	5705
34	202	5574
35	203	5452
36	205	5337
37	206	5224
38	207	5119
39	209	5019
40	210	4920
41	212	4835
42	213	4752
43	214	4668
44	216	4590
45	217	4517
46	219	4446
47	220	4374
48	222	4309
49	223	4246
50	225	4188
51	226	4126
52	227	4070
53	229	4016
54	230	3962
55	232	3913
56	233	3861
57	234	3815
58	236	3770
59	237	3726
60	239	3681
61	240	3641
62	241	3598
63	243	3560
64	244	3522
65	246	3482
66	247	3446
67	248	3403
68	249	3368
69	251	3335
70	252	3301
71	253	3268
72	255	3238
73	256	3208
74	257	3181
75	259	3152
76	260	3124
77	262	3098
78	263	3075
79	265	3050
80	266	3026
81	268	3002
82	269	2978
83	270	2954
84	271	2925
85	273	2902
86	274	2877
87	275	2857
88	277	2836
89	278	2815
90	279	2794
91	281	2775
92	282	2755
93	283	2737
94	285	2720
95	287	2703
96	288	2685
97	289	2667
98	291	2650
99	292	2634
100	294	2618
101	294	2596
102	296	2580
103	297	2565
104	299	2549
105	300	2534
106	302	2520
107	303	2507
108	304	2492
109	306	2479
110	307	2464
111	309	2452
112	310	2439
113	312	2425
114	313	2412
115	314	2398
116	316	2386
117	317	2373
118	318	2359
119	320	2346
120	321	2334
121	322	2322
122	323	2306
123	324	2294
124	326	2282
125	327	2272
126	328	2260
127	329	2247
128	331	2237
129	332	2227
130	334	2217
131	335	2208
132	337	2198
133	338	2188
134	339	2178
135	341	2169
136	343	2161
137	344	2149
138	345	2139
139	346	2131
140	348	2121
141	349	2111
142	350	2103
143	352	2094
144	353	2086
145	355	2078
146	356	2070
147	358	2062
148	359	2053
149	361	2045
150	362	2037
151	363	2030
152	365	2022
153	366	2014
154	368	2006
155	369	1999
156	371	1993
157	372	1985
158	374	1978
159	375	1972
160	377	1964
161	378	1957
162	380	1951
163	381	1945
164	382	1937
165	384	1930
166	385	1923
167	386	1915
168	388	1908
169	389	1902
170	391	1896
171	392	1889
172	393	1883
173	395	1877
174	396	1870
175	398	1864
176	399	1858
177	401	1852
178	402	1846
179	403	1839
180	404	1830
181	405	1824
182	407	1818
183	408	1812
184	410	1807
185	412	1803
186	413	1798
187	415	1792
188	416	1787
189	418	1783
190	419	1778
191	421	1773
192	422	1768
193	429	1786
194	431	1780
195	432	1775
196	434	1770
197	435	1764
198	437	1759
199	438	1753
200	439	1748
201	441	1743
202	442	1738
203	444	1732
204	445	1727
205	446	1722
206	448	1717
207	449	1712
208	451	1707
209	452	1702
210	454	1697
211	455	1692
212	456	1687
213	458	1682
214	459	1678
215	461	1674
216	462	1669
217	464	1665
218	465	1661
219	467	1656
220	468	1651
221	469	1646
222	471	1642
223	472	1637
224	473	1632
225	475	1627
226	476	1623
227	478	1618
228	479	1614
229	481	1610
230	482	1605
231	483	1601
232	485	1596
233	486	1592
234	488	1588
235	489	1584
236	490	1580
237	492	1575
238	493	1571
239	494	1567
240	496	1562
241	497	1558
242	499	1555
243	500	1551
244	501	1546
245	503	1542
246	504	1538
247	506	1534
248	507	1530
249	508	1526
250	509	1521
251	511	1517
252	512	1513
253	513	1509
254	515	1505
255	516	1502
256	518	1498
257	519	1494
258	521	1491
259	522	1487
260	524	1484
261	525	1480
262	526	1476
263	528	1472
264	529	1469
265	531	1465
266	532	1461
267	533	1458
268	535	1454
269	536	1450
270	538	1448
271	539	1444
272	541	1440
273	542	1437
274	544	1434
275	545	1430
276	546	1427
277	548	1423
278	549	1420
279	551	1417
280	552	1414
281	554	1411
282	555	1407
283	557	1404
284	558	1401
285	559	1397
286	561	1394
287	562	1391
288	563	1387
289	565	1384
290	566	1381
291	568	1378
292	569	1375
293	571	1371
294	572	1368
295	574	1365
296	575	1362
297	576	1358
298	578	1355
299	579	1351
300	580	1348
301	582	1345
302	583	1342
303	585	1339
304	586	1336
305	587	1333
306	589	1330
307	590	1326
308	591	1323
309	593	1320
310	594	1317
311	596	1316
312	598	1313
313	599	1309
314	600	1306
315	602	1303
316	603	1301
317	605	1298
318	606	1295
319	608	1292
320	609	1289
321	610	1286
322	612	1283
323	613	1280
324	614	1277
325	616	1274
326	617	1271
327	619	1268
328	620	1265
329	622	1263
330	623	1260
331	624	1257
332	626	1254
333	627	1251
334	628	1248
335	630	1245
336	631	1242
337	633	1240
338	634	1237
339	636	1234
340	637	1231
341	638	1229
342	640	1226
343	641	1223
344	642	1220
345	644	1217
346	645	1215
347	647	1212
348	648	1209
349	649	1206
350	651	1203
351	652	1201
352	653	1198
353	655	1195
354	656	1193
355	658	1190
356	659	1187
357	660	1185
358	662	1182
359	663	1179
360	664	1176
361	666	1173
362	667	1171
363	668	1168
364	670	1165
365	671	1163
366	672	1160
367	674	1158
368	675	1155
369	676	1152
370	678	1150
371	679	1147
372	681	1145
373	682	1142
374	683	1139
375	685	1136
376	686	1134
377	687	1131
378	689	1129
379	690	1126
380	691	1123
381	693	1121
382	694	1118
383	695	1116
384	697	1113
385	698	1111
386	699	1108
387	701	1106
388	703	1104
389	704	1101
390	705	1099
391	707	1096
392	708	1094
393	709	1091
394	711	1089
395	712	1086
396	713	1084
397	715	1082
398	716	1079
399	718	1077
400	719	1074
401	721	1072
402	722	1069
403	723	1067
404	725	1065
405	726	1063
406	727	1060
407	729	1058
408	730	1055
409	732	1053
410	733	1051
411	734	1048
412	736	1046
413	737	1043
414	738	1041
415	740	1039
416	741	1037
417	743	1034
418	744	1032
419	746	1030
420	747	1028
421	749	1025
422	750	1023
423	751	1021
424	753	1018
425	754	1016
426	755	1014
427	757	1011
428	758	1009
429	759	1007
430	761	1004
431	762	1002
432	763	1000
433	765	997
434	766	995
435	767	993
436	769	991
437	770	988
438	771	986
439	773	984
440	774	982
441	776	980
442	777	977
443	779	975
444	780	973
445	781	971
446	783	968
447	784	966
448	785	964
449	787	962
450	788	960
451	790	957
452	791	955
453	793	953
454	794	951
455	795	949
456	797	947
457	798	945
458	800	943
459	801	940
460	803	938
461	804	936
462	805	934
463	807	932
464	808	930
465	809	928
466	811	926
467	812	924
468	814	921
469	815	919
470	817	917
471	818	915
472	819	913
473	821	911
474	823	909
475	824	907
476	826	905
477	827	903
478	829	901
479	830	899
480	832	897
481	833	895
482	834	893
483	836	891
484	837	889
485	838	887
486	840	885
487	841	883
488	843	881
489	844	879
490	845	876
491	847	875
492	849	873
493	850	871
494	852	869
495	853	867
496	854	865
497	856	862
498	857	860
499	858	858
500	860	856
501	861	854
502	862	852
503	864	850
504	866	848
505	867	846
506	868	844
507	870	842
508	871	840
509	873	838
510	874	836
511	875	834
512	877	832
513	878	830
514	880	828
515	881	826
516	882	824
517	884	822
518	885	820
519	887	819
520	888	817
521	890	815
522	891	813
523	893	811
524	894	809
525	896	807
526	897	805
527	898	803
528	900	801
529	901	799
530	903	797
531	904	795
532	906	793
533	907	791
534	908	789
535	910	788
536	911	786
537	913	784
538	914	782
539	915	780
540	917	778
541	918	776
542	919	774
543	921	772
544	922	770
545	924	768
546	925	766
547	926	764
548	927	762
549	929	760
550	930	758
551	932	756
552	933	754
553	935	752
554	936	750
555	938	749
556	939	747
557	941	745
558	942	743
559	944	741
560	945	740
